JOBID        USER    ACCOUNT              STATE        CPU MIN_ME         TIME END_TIME             NODELIST(REASON)
22563042     madero  weddigen.ki.uzh      RUNNING        8 62850M      1:46:14 2025-07-25T09:55:33  u20-chaiam0-611
22566673     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:39:00  (Priority)
22566674     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:39:00  (Priority)
22566675     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:39:00  (Priority)
22566676     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:39:00  (Priority)
22566677     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:39:00  (Priority)
22566672     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:38:00  (Priority)
22566671     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:29:00  (Priority)
22566669     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:12:00  (Priority)
22566670     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:12:00  (Priority)
22566668     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:11:00  (Priority)
22566665     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:10:00  (Priority)
22566666     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:10:00  (Priority)
22566667     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:10:00  (Priority)
22566660     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:09:00  (Priority)
22566661     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:09:00  (Priority)
22566662     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:09:00  (Priority)
22566663     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:09:00  (Priority)
22566664     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:09:00  (Priority)
22566659     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:08:00  (Priority)
22566658     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:59:00  (Priority)
22566656     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:42:00  (Priority)
22566657     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:42:00  (Priority)
22566655     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:41:00  (Priority)
22566652     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:40:00  (Priority)
22566653     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:40:00  (Priority)
22566654     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:40:00  (Priority)
22566647     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:39:00  (Priority)
22566648     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:39:00  (Priority)
22566649     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:39:00  (Priority)
22566650     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:39:00  (Priority)
22566651     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:39:00  (Priority)
22566646     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:38:00  (Priority)
22566645     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:29:00  (Priority)
22566643     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:12:00  (Priority)
22566644     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:12:00  (Priority)
22566642     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:11:00  (Priority)
22566639     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:10:00  (Priority)
22566640     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:10:00  (Priority)
22566641     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:10:00  (Priority)
22566634     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:09:00  (Priority)
22566635     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:09:00  (Priority)
22566636     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:09:00  (Priority)
22566637     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:09:00  (Priority)
22566638     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:09:00  (Priority)
22566633     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T10:08:00  (Priority)
22566632     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:59:00  (Priority)
22566630     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:42:00  (Priority)
22566631     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:42:00  (Priority)
22566629     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:41:00  (Priority)
22566626     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:40:00  (Priority)
22566627     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:40:00  (Priority)
22566628     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:40:00  (Priority)
22566621     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:39:00  (Priority)
22566622     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:39:00  (Priority)
22566623     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:39:00  (Priority)
22566624     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:39:00  (Priority)
22566625     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:39:00  (Priority)
22566620     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:38:00  (Priority)
22566619     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:29:00  (Priority)
22566617     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:12:00  (Priority)
22566618     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:12:00  (Priority)
22566616     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:11:00  (Priority)
22566613     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:10:00  (Priority)
22566614     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:10:00  (Priority)
22566615     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:10:00  (Priority)
22566608     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:09:00  (Priority)
22566609     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:09:00  (Priority)
22566610     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:09:00  (Priority)
22566611     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:09:00  (Priority)
22566612     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:09:00  (Priority)
22566607     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T09:08:00  (Priority)
22566606     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:59:00  (Priority)
22566604     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:42:00  (Priority)
22566605     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:42:00  (Priority)
22566603     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:41:00  (Priority)
22566600     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:40:00  (Priority)
22566601     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:40:00  (Priority)
22566602     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:40:00  (Priority)
22566595     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:39:00  (Priority)
22566596     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:39:00  (Priority)
22566597     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:39:00  (Priority)
22566598     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:39:00  (Priority)
22566599     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:39:00  (Priority)
22566594     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:38:00  (Priority)
22566593     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:29:00  (Priority)
22566591     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:12:00  (Priority)
22566592     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:12:00  (Priority)
22566590     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:11:00  (Priority)
22566587     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:10:00  (Priority)
22566588     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:10:00  (Priority)
22566589     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:10:00  (Priority)
22566582     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:09:00  (Priority)
22566583     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:09:00  (Priority)
22566584     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:09:00  (Priority)
22566585     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:09:00  (Priority)
22566586     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:09:00  (Priority)
22566581     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T08:08:00  (Priority)
22566580     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:59:00  (Priority)
22566578     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:42:00  (Priority)
22566579     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:42:00  (Priority)
22566577     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:41:00  (Priority)
22566574     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:40:00  (Priority)
22566575     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:40:00  (Priority)
22566576     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:40:00  (Priority)
22566569     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:39:00  (Priority)
22566570     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:39:00  (Priority)
22566571     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:39:00  (Priority)
22566572     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:39:00  (Priority)
22566573     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:39:00  (Priority)
22566568     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:38:00  (Priority)
22566567     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:29:00  (Priority)
22566565     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:12:54  (Priority)
22566566     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:12:54  (Priority)
22566564     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:11:00  (Priority)
22566561     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:10:00  (Priority)
22566562     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:10:00  (Priority)
22566563     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:10:00  (Priority)
22566556     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:09:00  (Priority)
22566557     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:09:00  (Priority)
22566558     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:09:00  (Priority)
22566559     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:09:00  (Priority)
22566560     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:09:00  (Priority)
22566555     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T07:08:00  (Priority)
22566554     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:59:00  (Priority)
22566553     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:41:00  (Priority)
22566550     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:40:00  (Priority)
22566551     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:40:00  (Priority)
22566552     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:40:00  (Priority)
22566545     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:39:00  (Priority)
22566546     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:39:00  (Priority)
22566547     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:39:00  (Priority)
22566548     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:39:00  (Priority)
22566549     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:39:00  (Priority)
22566544     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:38:00  (Priority)
22566543     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:29:00  (Priority)
22566542     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:11:00  (Priority)
22566539     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:10:00  (Priority)
22566540     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:10:00  (Priority)
22566541     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:10:00  (Priority)
22566534     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:09:00  (Priority)
22566535     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:09:00  (Priority)
22566536     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:09:00  (Priority)
22566537     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:09:00  (Priority)
22566538     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:09:00  (Priority)
22566533     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T06:08:00  (Priority)
22566532     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:59:00  (Priority)
22566531     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:41:00  (Priority)
22566528     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:40:00  (Priority)
22566529     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:40:00  (Priority)
22566530     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:40:00  (Priority)
22566523     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:39:00  (Priority)
22566524     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:39:00  (Priority)
22566525     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:39:00  (Priority)
22566526     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:39:00  (Priority)
22566527     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:39:00  (Priority)
22566522     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:38:00  (Priority)
22566521     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:29:00  (Priority)
22566520     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:11:00  (Priority)
22566517     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:10:00  (Priority)
22566518     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:10:00  (Priority)
22566519     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:10:00  (Priority)
22566512     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:09:00  (Priority)
22566513     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:09:00  (Priority)
22566514     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:09:00  (Priority)
22566515     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:09:00  (Priority)
22566516     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:09:00  (Priority)
22566511     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T05:08:00  (Priority)
22566510     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:59:00  (Priority)
22566509     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:41:00  (Priority)
22566506     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:40:00  (Priority)
22566507     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:40:00  (Priority)
22566508     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:40:00  (Priority)
22566501     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:39:00  (Priority)
22566502     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:39:00  (Priority)
22566503     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:39:00  (Priority)
22566504     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:39:00  (Priority)
22566505     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:39:00  (Priority)
22566500     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:38:00  (Priority)
22566499     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:29:00  (Priority)
22566498     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:11:00  (Priority)
22566495     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:10:00  (Priority)
22566496     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:10:00  (Priority)
22566497     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:10:00  (Priority)
22566490     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:09:00  (Priority)
22566491     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:09:00  (Priority)
22566492     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:09:00  (Priority)
22566493     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:09:00  (Priority)
22566494     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:09:00  (Priority)
22566489     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T04:08:00  (Priority)
22566488     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:59:00  (Priority)
22566487     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:41:00  (Priority)
22566484     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:40:00  (Priority)
22566485     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:40:00  (Priority)
22566486     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:40:00  (Priority)
22566479     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:39:00  (Priority)
22566480     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:39:00  (Priority)
22566481     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:39:00  (Priority)
22566482     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:39:00  (Priority)
22566483     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:39:00  (Priority)
22566478     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:38:00  (Priority)
22566477     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:29:00  (Priority)
22566476     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:11:00  (Priority)
22566473     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:10:00  (Priority)
22566474     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:10:00  (Priority)
22566475     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:10:00  (Priority)
22566468     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:09:00  (Priority)
22566469     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:09:00  (Priority)
22566470     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:09:00  (Priority)
22566471     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:09:00  (Priority)
22566472     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:09:00  (Priority)
22566467     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T03:08:00  (Priority)
22566466     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:59:00  (Priority)
22566465     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:41:00  (Priority)
22566462     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:40:00  (Priority)
22566463     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:40:00  (Priority)
22566464     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:40:00  (Priority)
22566457     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:39:00  (Priority)
22566458     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:39:00  (Priority)
22566459     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:39:00  (Priority)
22566460     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:39:00  (Priority)
22566461     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:39:00  (Priority)
22566456     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:38:00  (Priority)
22566455     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:29:00  (Priority)
22566454     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:11:00  (Priority)
22566451     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:10:00  (Priority)
22566452     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:10:00  (Priority)
22566453     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:10:00  (Priority)
22566446     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:09:00  (Priority)
22566447     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:09:00  (Priority)
22566448     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:09:00  (Priority)
22566449     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:09:00  (Priority)
22566450     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:09:00  (Priority)
22566445     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T02:08:00  (Priority)
22566444     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T01:59:00  (Priority)
22566443     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T01:41:00  (Priority)
22566440     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T01:40:00  (Priority)
22566441     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T01:40:00  (Priority)
22566442     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T01:40:00  (Priority)
22566435     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T01:39:00  (Priority)
22566436     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T01:39:00  (Priority)
22566437     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T01:39:00  (Priority)
